Country,Release_Year,Genres,Category,Content_Count,Young_Population_Percentage
australia,2016,international tv shows,tv show,2,18.902132034301758
australia,2016,tv comedies,tv show,1,18.902132034301758
australia,2017,independent movies,movie,1,18.850528717041016
australia,2017,international movies,movie,6,18.850528717041016
australia,2017,documentaries,movie,7,18.850528717041016
australia,2017,comedies,movie,1,18.850528717041016
australia,2017,faith  spirituality,movie,1,18.850528717041016
australia,2017,dramas,movie,5,18.850528717041016
australia,2017,action  adventure,movie,1,18.850528717041016
australia,2017,music  musicals,movie,3,18.850528717041016
australia,2017,sports movies,movie,4,18.850528717041016
australia,2017,children  family movies,movie,5,18.850528717041016
australia,2017,horror movies,movie,1,18.850528717041016
australia,2017,thrillers,movie,1,18.850528717041016
australia,2017,tv mysteries,tv show,1,18.850528717041016
australia,2017,reality tv,tv show,3,18.850528717041016
australia,2017,science  nature tv,tv show,1,18.850528717041016
australia,2017,tv dramas,tv show,4,18.850528717041016
australia,2017,british tv shows,tv show,1,18.850528717041016
australia,2017,crime tv shows,tv show,1,18.850528717041016
australia,2017,international tv shows,tv show,6,18.850528717041016
australia,2017,kids tv,tv show,2,18.850528717041016
australia,2017,docuseries,tv show,2,18.850528717041016
australia,2017,comedy,tv show,1,18.850528717041016
australia,2017,drama,tv show,1,18.850528717041016
australia,2017,romantic tv shows,tv show,1,18.850528717041016
australia,2017,international,tv show,1,18.850528717041016
australia,2017,tv comedies,tv show,1,18.850528717041016
australia,2018,lgbtq movies,movie,1,18.77077293395996
australia,2018,documentaries,movie,4,18.77077293395996
australia,2018,comedies,movie,6,18.77077293395996
australia,2018,thrillers,movie,4,18.77077293395996
australia,2018,drama,movie,1,18.77077293395996
australia,2018,standup comedy,movie,1,18.77077293395996
australia,2018,music  musicals,movie,1,18.77077293395996
australia,2018,children  family movies,movie,6,18.77077293395996
australia,2018,comedy,movie,1,18.77077293395996
australia,2018,independent movies,movie,3,18.77077293395996
australia,2018,action  adventure,movie,3,18.77077293395996
australia,2018,dramas,movie,13,18.77077293395996
australia,2018,sports movies,movie,2,18.77077293395996
australia,2018,movies,movie,3,18.77077293395996
australia,2018,horror,movie,1,18.77077293395996
australia,2018,international movies,movie,11,18.77077293395996
australia,2018,romantic tv shows,tv show,1,18.77077293395996
australia,2018,british tv shows,tv show,1,18.77077293395996
australia,2018,docuseries,tv show,2,18.77077293395996
australia,2018,kids tv,tv show,1,18.77077293395996
australia,2018,tv comedies,tv show,4,18.77077293395996
australia,2018,science  nature tv,tv show,2,18.77077293395996
australia,2018,tv dramas,tv show,3,18.77077293395996
australia,2018,crime tv shows,tv show,2,18.77077293395996
australia,2018,international tv shows,tv show,7,18.77077293395996
australia,2019,adventure,movie,1,18.67488670349121
australia,2019,science fiction,movie,1,18.67488670349121
australia,2019,thriller,movie,1,18.67488670349121
australia,2019,independent movies,movie,2,18.67488670349121
australia,2019,romantic movies,movie,2,18.67488670349121
australia,2019,kids,movie,1,18.67488670349121
australia,2019,scifi  fantasy,movie,5,18.67488670349121
australia,2019,thrillers,movie,2,18.67488670349121
australia,2019,coming of age,movie,3,18.67488670349121
australia,2019,comedies,movie,6,18.67488670349121
australia,2019,drama,movie,3,18.67488670349121
australia,2019,documentaries,movie,2,18.67488670349121
australia,2019,dramas,movie,9,18.67488670349121
australia,2019,superhero,movie,1,18.67488670349121
australia,2019,actionadventure,movie,10,18.67488670349121
australia,2019,comedy,movie,4,18.67488670349121
australia,2019,horror movies,movie,1,18.67488670349121
australia,2019,children  family movies,movie,3,18.67488670349121
australia,2019,animation,movie,9,18.67488670349121
australia,2019,fantasy,movie,2,18.67488670349121
australia,2019,action,movie,2,18.67488670349121
australia,2019,family,movie,4,18.67488670349121
australia,2019,international movies,movie,5,18.67488670349121
australia,2019,action  adventure,movie,4,18.67488670349121
australia,2019,sports movies,movie,1,18.67488670349121
australia,2019,drama,tv show,1,18.67488670349121
australia,2019,tv thrillers,tv show,1,18.67488670349121
australia,2019,tv horror,tv show,1,18.67488670349121
australia,2019,crime,tv show,1,18.67488670349121
australia,2019,tv scifi  fantasy,tv show,1,18.67488670349121
australia,2019,tv mysteries,tv show,1,18.67488670349121
australia,2019,crime tv shows,tv show,1,18.67488670349121
australia,2019,tv dramas,tv show,4,18.67488670349121
australia,2019,tv comedies,tv show,2,18.67488670349121
australia,2019,mystery,tv show,1,18.67488670349121
australia,2019,international tv shows,tv show,8,18.67488670349121
australia,2019,kids tv,tv show,4,18.67488670349121
australia,2019,british tv shows,tv show,1,18.67488670349121
australia,2019,docuseries,tv show,2,18.67488670349121
australia,2019,reality tv,tv show,5,18.67488670349121
australia,2020,action  adventure,movie,4,18.54909896850586
australia,2020,crime,movie,1,18.54909896850586
australia,2020,independent movies,movie,1,18.54909896850586
australia,2020,standup comedy,movie,2,18.54909896850586
australia,2020,kids,movie,3,18.54909896850586
australia,2020,scifi  fantasy,movie,1,18.54909896850586
australia,2020,family,movie,2,18.54909896850586
australia,2020,adventure,movie,4,18.54909896850586
australia,2020,actionadventure,movie,1,18.54909896850586
australia,2020,comedies,movie,2,18.54909896850586
australia,2020,lgbtq movies,movie,1,18.54909896850586
australia,2020,dramas,movie,5,18.54909896850586
australia,2020,lgbtq,movie,1,18.54909896850586
australia,2020,cult movies,movie,1,18.54909896850586
australia,2020,international,movie,1,18.54909896850586
australia,2020,children  family movies,movie,3,18.54909896850586
australia,2020,romantic movies,movie,3,18.54909896850586
australia,2020,documentaries,movie,5,18.54909896850586
australia,2020,thriller,movie,1,18.54909896850586
australia,2020,comedy,movie,4,18.54909896850586
australia,2020,black stories,movie,1,18.54909896850586
australia,2020,horror,movie,4,18.54909896850586
australia,2020,animation,movie,1,18.54909896850586
australia,2020,romance,movie,2,18.54909896850586
australia,2020,mystery,movie,2,18.54909896850586
australia,2020,action,movie,3,18.54909896850586
australia,2020,drama,movie,5,18.54909896850586
australia,2020,science fiction,movie,2,18.54909896850586
australia,2020,sports,movie,1,18.54909896850586
australia,2020,international movies,movie,1,18.54909896850586
australia,2020,music  musicals,movie,1,18.54909896850586
australia,2020,classic movies,movie,2,18.54909896850586
australia,2020,tv mysteries,tv show,1,18.54909896850586
australia,2020,reality tv,tv show,2,18.54909896850586
australia,2020,reality,tv show,1,18.54909896850586
australia,2020,teen tv shows,tv show,1,18.54909896850586
australia,2020,tv thrillers,tv show,1,18.54909896850586
australia,2020,tv comedies,tv show,6,18.54909896850586
australia,2020,kids tv,tv show,7,18.54909896850586
australia,2020,international tv shows,tv show,5,18.54909896850586
australia,2020,tv action  adventure,tv show,1,18.54909896850586
australia,2020,tv dramas,tv show,9,18.54909896850586
australia,2020,tv scifi  fantasy,tv show,2,18.54909896850586
australia,2020,british tv shows,tv show,2,18.54909896850586
australia,2020,crime tv shows,tv show,2,18.54909896850586
australia,2020,romantic tv shows,tv show,1,18.54909896850586
australia,2021,comedies,movie,2,18.493499755859375
australia,2021,drama,movie,1,18.493499755859375
australia,2021,crime,movie,1,18.493499755859375
australia,2021,scifi  fantasy,movie,1,18.493499755859375
australia,2021,dramas,movie,7,18.493499755859375
australia,2021,actionadventure,movie,2,18.493499755859375
australia,2021,sports movies,movie,1,18.493499755859375
australia,2021,superhero,movie,1,18.493499755859375
australia,2021,comedy,movie,2,18.493499755859375
australia,2021,family,movie,3,18.493499755859375
australia,2021,fantasy,movie,1,18.493499755859375
australia,2021,classic movies,movie,1,18.493499755859375
australia,2021,independent movies,movie,1,18.493499755859375
australia,2021,romantic movies,movie,2,18.493499755859375
australia,2021,animation,movie,3,18.493499755859375
australia,2021,faith  spirituality,movie,1,18.493499755859375
australia,2021,international movies,movie,5,18.493499755859375
australia,2021,international,movie,1,18.493499755859375
australia,2021,horror movies,movie,1,18.493499755859375
australia,2021,children  family movies,movie,2,18.493499755859375
australia,2021,thrillers,movie,3,18.493499755859375
australia,2021,action  adventure,movie,2,18.493499755859375
australia,2021,lgbtq movies,movie,1,18.493499755859375
australia,2021,documentaries,movie,1,18.493499755859375
australia,2021,teen tv shows,tv show,1,18.493499755859375
australia,2021,tv comedies,tv show,2,18.493499755859375
australia,2021,tv dramas,tv show,1,18.493499755859375
australia,2021,animation,tv show,1,18.493499755859375
australia,2021,tv mysteries,tv show,1,18.493499755859375
australia,2021,international tv shows,tv show,5,18.493499755859375
australia,2021,tv action  adventure,tv show,1,18.493499755859375
australia,2021,kids,tv show,1,18.493499755859375
australia,2021,reality tv,tv show,1,18.493499755859375
australia,2021,kids tv,tv show,5,18.493499755859375
australia,2021,drama,tv show,1,18.493499755859375
australia,2021,tv scifi  fantasy,tv show,1,18.493499755859375
australia,2021,crime,tv show,1,18.493499755859375
australia,2021,science  nature tv,tv show,1,18.493499755859375
australia,2021,docuseries,tv show,4,18.493499755859375
australia,2021,anime series,tv show,1,18.493499755859375
australia,2021,historical,tv show,1,18.493499755859375
australia,2021,british tv shows,tv show,1,18.493499755859375
austria,2016,documentaries,movie,1,14.361611366271973
austria,2017,independent movies,movie,1,14.417765617370605
austria,2017,dramas,movie,2,14.417765617370605
austria,2017,international movies,movie,2,14.417765617370605
austria,2018,international movies,movie,1,14.431221008300781
austria,2018,independent movies,movie,1,14.431221008300781
austria,2018,dramas,movie,1,14.431221008300781
austria,2019,documentaries,movie,2,14.421945571899414
austria,2019,family,movie,1,14.421945571899414
austria,2019,independent movies,movie,2,14.421945571899414
austria,2019,comedy,movie,1,14.421945571899414
austria,2019,international movies,movie,3,14.421945571899414
austria,2019,dramas,movie,2,14.421945571899414
austria,2019,sports movies,movie,1,14.421945571899414
austria,2019,actionadventure,movie,1,14.421945571899414
austria,2020,international movies,movie,2,14.393330574035645
austria,2020,dramas,movie,2,14.393330574035645
austria,2020,thrillers,movie,1,14.393330574035645
austria,2020,scifi  fantasy,movie,1,14.393330574035645
austria,2020,documentaries,movie,1,14.393330574035645
austria,2020,comedies,movie,1,14.393330574035645
austria,2020,crime,movie,1,14.393330574035645
austria,2020,drama,movie,1,14.393330574035645
austria,2020,independent movies,movie,1,14.393330574035645
austria,2020,tv dramas,tv show,1,14.393330574035645
austria,2020,international tv shows,tv show,1,14.393330574035645
austria,2020,crime tv shows,tv show,1,14.393330574035645
austria,2021,horror movies,movie,1,14.382372856140137
austria,2021,thrillers,movie,1,14.382372856140137
austria,2021,documentary,movie,1,14.382372856140137
austria,2021,animals  nature,movie,1,14.382372856140137
austria,2021,international movies,movie,1,14.382372856140137
belgium,2015,comedies,movie,1,16.978729248046875
belgium,2015,music  musicals,movie,1,16.978729248046875
belgium,2015,children  family movies,movie,2,16.978729248046875
belgium,2015,documentaries,movie,1,16.978729248046875
belgium,2015,international movies,movie,1,16.978729248046875
belgium,2016,independent movies,movie,1,16.96425437927246
belgium,2016,dramas,movie,3,16.96425437927246
belgium,2016,international movies,movie,4,16.96425437927246
belgium,2016,comedies,movie,1,16.96425437927246
belgium,2017,independent movies,movie,4,16.952878952026367
belgium,2017,action  adventure,movie,5,16.952878952026367
belgium,2017,international movies,movie,17,16.952878952026367
belgium,2017,documentaries,movie,2,16.952878952026367
belgium,2017,music  musicals,movie,1,16.952878952026367
belgium,2017,horror movies,movie,2,16.952878952026367
belgium,2017,children  family movies,movie,1,16.952878952026367
belgium,2017,comedies,movie,3,16.952878952026367
belgium,2017,romantic movies,movie,2,16.952878952026367
belgium,2017,dramas,movie,10,16.952878952026367
belgium,2017,lgbtq movies,movie,1,16.952878952026367
belgium,2017,scifi  fantasy,movie,1,16.952878952026367
belgium,2017,thrillers,movie,2,16.952878952026367
belgium,2017,international tv shows,tv show,1,16.952878952026367
belgium,2017,crime tv shows,tv show,1,16.952878952026367
belgium,2017,tv dramas,tv show,1,16.952878952026367
belgium,2018,history,movie,1,16.927946090698242
belgium,2018,horror movies,movie,1,16.927946090698242
belgium,2018,international movies,movie,10,16.927946090698242
belgium,2018,international,movie,2,16.927946090698242
belgium,2018,independent movies,movie,2,16.927946090698242
belgium,2018,drama,movie,4,16.927946090698242
belgium,2018,thrillers,movie,2,16.927946090698242
belgium,2018,dramas,movie,9,16.927946090698242
belgium,2018,adventure,movie,2,16.927946090698242
belgium,2018,music,movie,1,16.927946090698242
belgium,2018,action,movie,2,16.927946090698242
belgium,2018,crime,movie,1,16.927946090698242
belgium,2018,comedy,movie,2,16.927946090698242
belgium,2018,action  adventure,movie,1,16.927946090698242
belgium,2018,documentaries,movie,1,16.927946090698242
belgium,2018,comedies,movie,3,16.927946090698242
belgium,2018,crime tv shows,tv show,1,16.927946090698242
belgium,2018,tv dramas,tv show,1,16.927946090698242
belgium,2018,tv scifi  fantasy,tv show,1,16.927946090698242
belgium,2018,international tv shows,tv show,2,16.927946090698242
belgium,2018,tv mysteries,tv show,1,16.927946090698242
belgium,2019,thriller,movie,1,16.876487731933594
belgium,2019,drama,movie,1,16.876487731933594
belgium,2019,crime,movie,1,16.876487731933594
belgium,2019,independent movies,movie,5,16.876487731933594
belgium,2019,international movies,movie,17,16.876487731933594
belgium,2019,thrillers,movie,3,16.876487731933594
belgium,2019,horror movies,movie,2,16.876487731933594
belgium,2019,comedy,movie,1,16.876487731933594
belgium,2019,action  adventure,movie,3,16.876487731933594
belgium,2019,documentaries,movie,1,16.876487731933594
belgium,2019,lgbtq movies,movie,2,16.876487731933594
belgium,2019,scifi  fantasy,movie,2,16.876487731933594
belgium,2019,action,movie,1,16.876487731933594
belgium,2019,comedies,movie,3,16.876487731933594
belgium,2019,dramas,movie,11,16.876487731933594
belgium,2019,tv dramas,tv show,3,16.876487731933594
belgium,2019,international tv shows,tv show,3,16.876487731933594
belgium,2019,crime tv shows,tv show,3,16.876487731933594
belgium,2020,comedy,movie,1,16.791452407836914
belgium,2020,crime,movie,1,16.791452407836914
belgium,2020,family,movie,1,16.791452407836914
belgium,2020,action  adventure,movie,3,16.791452407836914
belgium,2020,action,movie,1,16.791452407836914
belgium,2020,classic movies,movie,1,16.791452407836914
belgium,2020,romantic movies,movie,1,16.791452407836914
belgium,2020,dramas,movie,12,16.791452407836914
