Country,Country_ID,Release_Year,Young_Population_Percentage
argentina,44,1950,30.52667808532715
argentina,44,1951,30.581140518188477
argentina,44,1952,30.632484436035156
argentina,44,1953,30.68074607849121
argentina,44,1954,30.72590446472168
argentina,44,1955,30.767986297607422
argentina,44,1956,30.774560928344727
argentina,44,1957,30.778600692749023
argentina,44,1958,30.780061721801758
argentina,44,1959,30.778947830200195
argentina,44,1960,30.77519416809082
argentina,44,1961,30.664287567138672
argentina,44,1962,30.55152702331543
argentina,44,1963,30.436914443969727
argentina,44,1964,30.320466995239258
argentina,44,1965,30.202163696289062
argentina,44,1966,30.037893295288086
argentina,44,1967,29.871994018554688
argentina,44,1968,29.704509735107422
argentina,44,1969,29.53546142578125
argentina,44,1970,29.364871978759766
argentina,44,1971,29.336580276489258
argentina,44,1972,29.307851791381836
argentina,44,1973,29.278587341308594
argentina,44,1974,29.248689651489258
argentina,44,1975,29.218061447143555
argentina,44,1976,29.475757598876953
argentina,44,1977,29.73444938659668
argentina,44,1978,29.994274139404297
argentina,44,1979,30.255470275878906
argentina,44,1980,30.51835823059082
argentina,44,1981,30.604516983032227
argentina,44,1982,30.695938110351562
argentina,44,1983,30.792407989501953
argentina,44,1984,30.893754959106445
argentina,44,1985,30.999746322631836
argentina,44,1986,30.938777923583984
argentina,44,1987,30.881725311279297
argentina,44,1988,30.82866096496582
argentina,44,1989,30.7796573638916
argentina,44,1990,30.734773635864258
argentina,44,1991,30.42137908935547
argentina,44,1992,30.108186721801758
argentina,44,1993,29.79517364501953
argentina,44,1994,29.48232078552246
argentina,44,1995,29.16962242126465
argentina,44,1996,28.939899444580078
argentina,44,1997,28.708600997924805
argentina,44,1998,28.47580909729004
argentina,44,1999,28.24161148071289
argentina,44,2000,28.00609016418457
argentina,44,2001,27.795616149902344
argentina,44,2002,27.58392333984375
argentina,44,2003,27.371042251586914
argentina,44,2004,27.156991958618164
argentina,44,2005,26.94179344177246
argentina,44,2006,26.76351547241211
argentina,44,2007,26.58401107788086
argentina,44,2008,26.403301239013672
argentina,44,2009,26.221397399902344
argentina,44,2010,26.03832244873047
argentina,44,2011,25.83627700805664
argentina,44,2012,25.64913558959961
argentina,44,2013,25.473661422729492
argentina,44,2014,25.305068969726562
argentina,44,2015,25.139944076538086
argentina,44,2016,24.97784996032715
argentina,44,2017,24.81924057006836
argentina,44,2018,24.66253089904785
argentina,44,2019,24.505834579467773
argentina,44,2020,24.346525192260742
argentina,44,2021,24.18284034729004
argentina,44,2022,24.012081146240234
australia,23,1950,26.604473114013672
australia,23,1951,27.14535140991211
australia,23,1952,27.601459503173828
australia,23,1953,28.122695922851562
australia,23,1954,28.59066390991211
australia,23,1955,29.038990020751953
australia,23,1956,29.387300491333008
australia,23,1957,29.640464782714844
australia,23,1958,29.986589431762695
australia,23,1959,30.12211036682129
australia,23,1960,30.205352783203125
australia,23,1961,30.309663772583008
australia,23,1962,30.049062728881836
australia,23,1963,29.916841506958008
australia,23,1964,29.817651748657227
australia,23,1965,29.627277374267578
australia,23,1966,29.481534957885742
australia,23,1967,29.284025192260742
australia,23,1968,29.0325927734375
australia,23,1969,28.920785903930664
australia,23,1970,28.828060150146484
australia,23,1971,28.67682647705078
australia,23,1972,28.508913040161133
australia,23,1973,28.23317527770996
australia,23,1974,27.868392944335938
australia,23,1975,27.4931640625
australia,23,1976,26.986906051635742
